Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
The no-take zone network of the Mexican Caribbean: assessing design and management for the protection of coral reef fish communities,"Espinosa-Andrade, N; Suchley, A; Reyes-Bonilla, H; Alvarez-Filip, L","Understanding the effects and benefits provided by the design and management of Marine Protected Areas (MPAs) is crucial for developing cost-effective management actions. We characterized the management and design of no-take zone (NTZ) networks of eight Mexican Caribbean MPAs. To determine protection effectiveness, we followed a two-step approach. First, we evaluated the effect of the level of protection (NTZ, partial and unprotected areas), habitat structure and local human threats on four fish community metrics: total biomass, commercial fish biomass, mean trophic level and commercial fish mean size. If the protection afforded by the NTZ was significant, a second model was developed to evaluate design and management effectiveness. Total biomass, commercial fish biomass and mean trophic level were correlated significantly and positively with no-take protection; and, partially protected areas showed a significant and positive correlation with commercial fish biomass and mean trophic level. MPA age was the only significant and positive design and management characteristic that explained the variation in commercial fish biomass. This might be in part due to the suboptimal design of the MPA network that has mostly resulted from economic and social opportunities with little consideration for ecological guidelines and management capacities. Our findings suggest that to increase reef fish protection it would be necessary to include reef habitats with high coral cover and structural complexity inside NTZs. However, the effectiveness of an MPA network not only requires ecological considerations but also factors that include compliance, enforcement and true community participation to achieve greater benefits. Policymakers must ensure adequate design and management of MPAs in order to improve the effectiveness of marine resource protection, promoting both sustainable use and long-term biodiversity conservation.",2020,,BIODIVERSITY AND CONSERVATION,29,6,2069-2087,WOS:000522656400019,10.1007/s10531-020-01966-y,,#19354,Espinosa-Andrade 2020,,
"Halfway to sustainability: Management lessons from community-based, marine no-take zones in the Mexican Caribbean","Ayer, A; Fulton, S; Caamal-Madrigal, JA; Espinoza-Tenorio, A","Spatial closure regimes such as marine protected areas (MPAs) have emerged as a prominent tool in the effort to balance ecosystem health and fishery productivity. As MPAs have proliferated, the conservation community has begun to supplement traditional biological metrics with social and community considerations in the way it seeks to manage and evaluate such tools. To assess management outcomes and opportunities for a network of community -based, marine no-take zones (NTZs) in the Mexican Caribbean, semi-structured interviews were carried out with fishers and key management stakeholders. Findings indicate that the community-based management strategy has inherent tradeoffs between community engagement and conservation potential. Managers have succeeded in fostering high levels of community support for the initiative, but significant challenges remain, most notably the high presence of illegal fishing within NTZs. Successes and challenges of the community-based management strategy are documented and evaluated within a fisheries resource management framework. As the NTZ network undergoes legal renovation following the completion of its initial five-year term, this work serves as an important resource for both reflection on, and adaptation of, the community-based NTZ management regime.",2018,,MARINE POLICY,93,,22-30,WOS:000434752900003,10.1016/j.marpol.2018.03.008,,#19355,Ayer 2018,,
Assessing the socioeconomic effects of multiple-use MPAs in a European setting: A national stakeholders' perspective,"Rodriguez-Rodriguez, D; Rees, SE; Rodwell, LD; Attrill, MJ","The designation of marine protected areas (MPAs) may have intense social and economic effects on human communities. Driven by overarching global and European policies and national legislations, current systematic conservation planning in the UK and France requires an ecosystem approach that takes into account not only nature but also the human activities that take place in an area. Here, we identified a set of 64 socioeconomic variables potentially relevant for marine and coastal stakeholders in a European context and a comprehensive set of 20 marine and coastal stakeholder categories. Ninety national organisations in the UK and France belonging to those categories and potentially affected by/interested in the designation of multiple-use MPAs were identified and surveyed. Results show that environmental NGOs, research centres, local councils, managing agencies and statutory nature conservation bodies perceived that they are positively affected by these MPAs, whereas fishers' organisations, shipping and aggregate industrial organisations and recreational organisations perceived to be chiefly negatively affected by MPAs. On average, the ecological effects of multiple-use MPAs are perceived as 'largely positive', though 30% of respondents did not perceive any positive ecological effects from these MPAs. The social, economic and cultural effects of such MPAs are perceived as 'moderately positive'. Most respondents perceived broad range (>10 km) and permanent ecological, social, economic and cultural effects from multiple-use MPA designation suggesting high societal expectations towards these areas. However, only five variables were perceived to vary in intensity after the designation of multiple-use MPAs: 'research', 'environmental performance by citizens, businesses and towns', 'number of green businesses', 'tourism' and 'economic activities'. The most important 'social' variables for stakeholder organisations referred to local populations' engagement with the MPA, tourism and research. The most important 'economic' variables were linked to fishing, shipping and aquaculture activities. These variables highlight relevant topics to be considered in MPA planning, designation and management processes, especially in the UK and France. There were statistically significant differences in the ratings of socioeconomic variables between many organisations belonging to the same intuitive stakeholder categories, suggesting the importance of including as wide a range of stakeholder organisations as feasible in MPA socioeconomic-related processes. Our methods and findings can help to inform and streamline ongoing and future participatory MPA planning, management and monitoring processes in Europe and in other regions with similar socioeconomic characteristics. (C) 2014 Elsevier Ltd. All rights reserved.",2015,,ENVIRONMENTAL SCIENCE & POLICY,48,,115-127,WOS:000352248100011,10.1016/j.envsci.2014.12.020,,#19357,Rodriguez-Rodriguez 2015,,
It's a trust thing: Assessing fishermen's perceptions of the California North Coast marine protected area network,"Ordonez-Gauger, L; Richmond, L; Hackett, S; Chen, C","The California's Marine Life Protection Act (MLPA) is a recent high-profile initiative that led to the implementation of a network of 124 marine protected areas (MPAs) encompassing 16% of state waters. The effort was conducted through six different regional processes that incorporated stakeholder and scientific involvement, ending with the North Coast region. While the initiative has been described as a success in terms of implementation, there has been relatively little empirical research about social perceptions of the MPA network in order to examine whether stakeholders view the effort as successful. Our research team conducted surveys with 178 commercial and charter fishermen and held five focus groups in each of the major ports of the region in order to assess fishermen's perceptions of the California North Coast MPA network- including perceptions of both the process of implementation and potential outcomes from the network. Among fishermen, satisfaction with the overall process was low; however, the level of satisfaction with the inclusion of local input and the final location of the MPAs was more evenly divided. Levels of trust in management entities, including those who implemented the MPA network, were low. Additionally, in focus group discussions, fishermen described several perceived shortcomings of the process, including an overall ""top-down"" approach, a failure to consider the local context, and the appearance of being dismissive of fishermen's perspectives. In terms of outcomes, fishermen overwhelmingly did not believe that the MPA network would improve ocean health or their income from fishing. Qualitatively, fishermen reported that while they were experiencing some minor adverse effects from the MPA network, overall they did not believe that socioeconomic impacts on the fishing industry from the MPA network would be substantial. Many expressed relief that the location of MPAs avoided many important fishing grounds. Trust emerged as an important variable. For example, the reported level of trust by fishermen in the entity that implemented the MPA network had a statistically significant correlation with their level of satisfaction with the overall process, including the final location of the MPA network. Findings complicate initial assessments of the MLPA implementation process as an overall success, and highlight the importance of trust to building successful and lasting marine conservation initiatives.",2018,,OCEAN & COASTAL MANAGEMENT,158,,144-153,WOS:000436212500015,10.1016/j.ocecoaman.2018.03.034,,#19361,Ordonez-Gauger 2018,,
Each fisherman is different: Taking the environmental perception of small-scale fishermen into account to manage marine protected areas,"Silva, MRO; Lopes, PPM","One of the reasons for the failure of some Marine Protected Areas (MPAs) is the lack of respect for their boundaries and regulations, which intensifies the need to assess the attitudes of stakeholders affected by MPAs. To this end, it is necessary to know the perception and behavior of resource users in these areas in relation to the management process. This study addressed the perception of different groups of fishermen in three MPAs that allow sustainable use of resources on the Brazilian northeastern coast. The perception analysis was based on four aspects; biodiversity conservation, flexibility and adaptability of fishermen, participation in management and opinions about the MPA. The interviewed fishermen (n=100) were classified into natives or immigrants, >= than 40 years old or <40, predominant use of selective or nonselective fishing gear and part or full time fishermen. The results showed that younger fishermen and the ones who use selective fishing gear presented a more conservation prone perception; nonselective fishermen and part-time fishermen were more flexible and adaptable to changes; and younger fishermen tended to agree more with the establishment of the MPAs. Taking these differences in perceptions among fishermen into account could serve as a basis for improvements in the management and conservation of fishing resources, besides helping predict possible future behavior due to changes in management policies. (C) 2014 Elsevier Ltd. All rights reserved.",2015,,MARINE POLICY,51,,347-355,WOS:000348003700041,10.1016/j.marpol.2014.09.019,,#19362,Silva 2015,,
Basin-scale distribution of harbour porpoises in the Baltic Sea provides basis for effective conservation actions,"Carlen, I; Thomas, L; Carlstrom, J; Amundin, M; Teilmann, J; Tregenza, N; Tougaard, J; Koblitz, JC; Sveegaard, S; Wennerberg, D; Loisa, O; Dahne, M; Brundiers, K; Kosecka, M; Kyhn, LA; Ljungqvist, CT; Pawliczka, I; Koza, R; Arciszewski, B; Galatius, A; Jabbusch, M; Laaksonlaita, J; Niemi, J; Lyytinen, S; Gallus, A; Benke, H; Blankett, P; Skora, KE; Acevedo-Gutierrez, A","Knowledge on spatial and seasonal distribution of species is crucial when designing protected areas and implementing management actions. The Baltic Proper harbour porpoise (Phocoena phocoena) population is critically endangered, and its distribution is virtually unknown. Here, we used passive acoustic monitoring and species distribution models to describe the spatial and seasonal distribution of harbour porpoises in the Baltic Proper. Porpoise click detectors were deployed over a systematic grid of 297 stations in eight countries from April 2011 through July 2013. Generalized additive models were used to describe the monthly probability of detecting porpoise clicks as a function of spatially-referenced covariates and time. During the reproductive season, two main areas of high probability of porpoise detection were identified. One of those areas, situated on and around the offshore banks in the Baltic Proper, is clearly separated from the known distribution range of the Belt Sea population during breeding season, suggesting this is an important breeding ground for the Baltic Proper population. We commend the designation of this area as a marine protected area and recommend Baltic Sea countries to also protect areas in the southern Baltic Sea and the Hand Bight where additional important harbour porpoise habitats were identified. Further conservation measures should be carried out based on analyses of overlap between harbour porpoise distribution and potentially harmful anthropogenic activities. Our study shows that large-scale systematic monitoring using novel techniques can give important insights on the distribution of low-density populations, and that international cooperation is pivotal when studying transnationally migratory species.",2018,,BIOLOGICAL CONSERVATION,226,,42-53,WOS:000445992900006,10.1016/j.biocon.2018.06.031,,#19365,Carlen 2018,,
"Conservation Strategies Through the Lens of Small-Scale Fishers in the Galapagos Islands, Ecuador: Perceptions Underlying Local Resistance to Marine Planning","Burbano, DV; Meredith, TC","Spatial management tools are increasingly used in marine protected areas (MPAs). In the Galapagos Archipelago two zoning plans have been designed to advance resource management and protection: one in 2000, implemented through participatory processes under a co-management regime; the other in 2016, designed within a new regulatory framework and with strong input from international conservation advocates. The new zoning plan has been actively resisted by small-scale fishers. We analyze qualitative data from 149 questionnaire surveys and 16 key informant interviews to assess fishers' perceptions of the re-zoning process. The perceptions that underpin fishers' resistance to the new zoning plan converge in five principal themes that raise questions about the legitimacy, fairness, transparency, and viability of this management tool. This study provides further evidence of the strategic importance of incorporating human dimensions in MPA management and, more particularly, of understanding social concerns that may critically impede the progress of marine resource conservation.",2020,,SOCIETY & NATURAL RESOURCES,33,10,1194-1212,WOS:000538993700001,10.1080/08941920.2020.1765058,,#19367,Burbano 2020,,
Assessing Assemblage Composition of Reproductively Mature Resource Fishes at a Community Based Subsistence Fishing Area (CBSFA),"Weible, RM; Rodgers, KS; Friedlander, AM; Hunter, CL","Nearshore fisheries in Hawai'i have been steadily decreasing for over a century. Marine protected areas (MPAs) have been utilized as a method to both conserve biodiversity and enhance fisheries. The composition of resource fishes within and directly outside of the recently established Ha'ena Community Based Subsistence Fishing Area (CBSFA) on the island of Kaua'i were assessed to determine temporal and spatial patterns in assemblage structure. In situ visual surveys of fishes, invertebrates, and benthos were conducted using a stratified random sampling design to evaluate the efficacy of the MPA between 2016 and 2020. L-50 values-defined as the size at which half of the individuals in a population have reached reproductive maturity-were used as proxies for identifying reproductively mature resource fishes both inside and outside the CBSFA. Surveys between 2016 and 2020 did not indicate strong temporal or spatial changes in overall resource fish assemblage structure; however, some species-specific changes were evident. Although overall resource species diversity and richness were significantly higher by 2020 inside the MPA boundaries, there is currently no strong evidence for a reserve effect.",2021,,DIVERSITY-BASEL,13,3,,WOS:000633602200001,10.3390/d13030114,,#19369,Weible 2021,,
Effects of cooperation and different characteristics of Marine Protected Areas in a simulated small-scale fishery,"Owusu, KA; Acevedo-Trejos, E; Fall, MM; Merico, A","Marine fisheries are a critically important source of food, nutrition, and employment for millions of people. As the global population increases, new and expanding pressures are created on fish resources. Marine Protected Areas (MPAs) have been widely promoted as valuable tools for rebuilding or maintaining fish stocks around the world. The success of MPAs, however, widely depends on their particular configuration and management and their effectiveness is often object of contentious debates in both scientific and political arenas. Since fisheries management is a collective action problem, some forms of human cooperation in terms of fishing behaviour can lead to sustainable fisheries and can represent, in theory, a complementary or even an alternative approach to the establishment of no-take marine reserves. We present here a new Agent-Based Model (ABM) that captures the main characteristics of an idealised small-scale fishery. We then use the model to investigate the combined effects of different fishing strategies (expressed by a cooperative trait associated to fishing effort) and various configurations of no-take reserves (including presence or absence of MPA, size of MPA, age of MPA, i.e. time elapsed since its establisment, and distance between two MPAs) on fish abundance and catch under an overfishing regime. Our results show that high cooperation without an MPA can be as effective as lower levels of cooperation combined with an MPA in maintaining fish stocks and catches at relatively high levels. The mobility of our fish agents implies that, contrary to current belief, these results may not be limited to sedentary species. We also found that the greatest impacts on fish abundance and catch are produced by the size of an MPA and the time elapsed since its establishment. Furthermore, the distance between two MPAs has no significant effect, regardless of the cooperation levels characterising the fishing agents. Despite its simplicity, the ABM presented here provides insights on the most plausible effects that combinations of different MPA designs and human cooperation strategies can produce on overexploited small-scale fisheries. When appropriately adapted with a realistic, fishery-specific parameterisation, this model can constitute a valuable tool for evaluating the impact of different resource management strategies. We make the model available as open-source software with the aims of fostering reproducibility, transparency, and flow of ideas.",2020,,ECOLOGICAL COMPLEXITY,44,,,WOS:000599877200012,10.1016/j.ecocom.2020.100876,,#19372,Owusu 2020,,
Evaluating the social acceptability of Marine Protected Areas,"Gall, SC; Rodwell, LD","Q methodology provides a novel, quantitative approach to reveal stakeholder perspectives and was used to assess social acceptance of Marine Protected Areas (MPAs) with fisheries and conservation management goals using the Devon & Severn region, UK as a case study site. Participants sorted a set of statements (n=42) into a forced-choice frequency distribution and centroid analysis revealed three factors for interpretation: (1) 'pro-conservation', characterised by views that conservation should be prioritised over commercial and economic interests; (2) 'pro-fisheries' who saw fishing as the priority and expressed concerns over the uncertainty of management measures and the number of planned MPAs; and (3) 'win-win' who felt that the current approach to marine management using MPAs would allow both fisheries and conservation goals to be met. Despite some differences in opinion, social acceptability of MPAs was identified across all three discourses, but was limited by the knock-on effects of the exclusion of stakeholders from the implementation of MPAs and the development of management measures. This resulted in disenfranchisement and uncertainty over the future of their activities. The results suggest that social acceptability of MPAs is generated by effective and ongoing stakeholder engagement, transparency and honesty relating to the costs and benefits of designations and a certainty that once sites are in place the resources exist for their effective management. Understanding social acceptability will guide adaptive management and increase the chances of MPA success and the meeting of global targets. (C) 2015 Elsevier Ltd. All rights reserved.",2016,,MARINE POLICY,65,,30-38,WOS:000370096200004,10.1016/j.marpol.2015.12.004,,#19374,Gall 2016,,
Does It Work for Biodiversity? Experiences and Challenges in the Evaluation of Social Marketing Campaigns,"Verissimo, D; Bianchessi, A; Arrivillaga, A; Cadiz, FC; Mancao, R; Green, K","There is a growing realization among conservationists that human behavior is the main driver of all key threats to biodiversity and the environment. This realization has led to an escalation of the efforts to influence human behavior toward the adoption of more sustainable alternatives, more recently through the use of social marketing theory and tools. However, these initiatives have traditionally suffered from a lack of robust impact evaluation, which limits not only accountability but also a practitioner's ability to learn and improve over time. We evaluated three social marketing campaigns conducted in the Philippines, which aimed at increasing the sustainability of local fisheries. To achieve this, we used the results not only from questionnaire surveys but also from biological and enforcement data. We found that although there is some evidence of impact around human behavior and perceptions of conservation results, those changes did not translate into biological outcomes during the 2-year time frame considered in this evaluation. We discuss many of the barriers to causal inference that still remain, particularly if causal links between outcomes and specific interventions are to be drawn, but also showcase how this current methodology can help us go further than the more basic approaches to impact evaluation commonly used. Lastly, we highlight a number of lessons learned from this experience in seeking a practical, ethical, and effective approach to impact evaluation.",2018,,SOCIAL MARKETING QUARTERLY,24,1,18-34,WOS:000424284000002,10.1177/1524500417734806,,#19375,Verissimo 2018,,
A model-based assessment of reef larvae dispersal in the Western Indian Ocean reveals regional connectivity patterns - Potential implications for conservation policies,"Crochelet, E; Roberts, J; Lagabrielle, E; Obura, D; Petit, M; Chabanet, P","Marine resources are under increasing pressure from a wide variety of threats such as overfishing, offshore energy development, and climate change. As marine ecosystems degrade, so do the well-being and livelihoods of humans that depend directly on the ecosystem goods and services they provide. Marine protected areas have been proposed to protect biodiversity, restore damaged ecosystems, sustain fisheries, and rebuild overexploited stocks. The effectiveness of marine protected areas depends in part on their effectiveness as connected networks, linked over large areas by ecological processes such as larval dispersal. Here, we applied a biophysical model driven by ocean currents derived from satellite altimetry to evaluate connectivity between Western Indian Ocean reefs. We applied graph-theoretic analysis, including clustering and a betweenness centrality metric. Our results show high interconnectivity within several regions (Mozambique Channel, Mascarene archipelago) and lower connectivity across the WIO region. We compared the results with the current MPA network, and proposed sites/reefs that should be considered priority sites for MPA implementation: Pebane, Cosmoledo, Majunga, Masoarivo, Platte Island, Farquhar, Agalega and Geyser bank. Our results are timely, considering the oil and gas exploration that is ongoing in the region. We discuss implications for transboundary marine policies and regional cooperation in the Western Indian Ocean, and advocate the creation of a regional-scale organization to structure interactions among the different actors. (C) 2016 Elsevier B.V. All rights reserved.",2016,,REGIONAL STUDIES IN MARINE SCIENCE,7,,159-167,WOS:000414770500019,10.1016/j.rsma.2016.06.007,,#19378,Crochelet 2016,,
Predicting impact to assess the efficacy of community-based marine reserve design,"Smallhorn-West, PF; Bridge, TCL; Malimali, S; Pressey, RL; Jones, GP","During the planning phase the efficacy of different strategies to manage marine resources should ultimately be assessed by their potential impact, or ability to make a difference to ecological and social outcomes. While community-based and systematic approaches to establishing marine protected areas have their strengths and weaknesses, comparisons of their effectiveness often fail to explicitly address potential impact. Here, we predict conservation impact to compare recently implemented community-based marine reserves in Tonga to a systematic configuration specifically aimed at maximizing impact. Boosted regression tree outputs indicated that fishing pressure accounted for similar to 24% of variation in target species biomass. We estimate that the community-based approach provides 84% of the recovery potential of the configuration with the greatest potential impact. This high potential impact results from community-based reserves being located close to villages, where fishing pressure is greatest. These results provide strong support for community-based marine management, with short-term benefits likely to accrue even where there is little scope for systematic reserve design.",2019,,CONSERVATION LETTERS,12,1,,WOS:000458575500009,10.1111/conl.12602,,#19379,Smallhorn-West 2019,,
Marine protected areas in the eastern African region: How successful are they?,"Francis, J; Nilsson, A; Waruinge, D","This article reviews the governance and management of Marine Protected Areas (MPAs), and the coral reefs they contain, in the eastern African Region. This includes the Comoros, Kenya, Madagascar, Mauritius, Mozambique, Tanzania, and the Seychelles. Three generations or categories of MPAs are distinguished: i) small areas for protection of a single species or unique marine habitat; ii) large multiple use MPAs designed for coastal development as well as biodiversity protection; and iii) MPAs managed by a nongovernmental organization (NGO) or the private sector. Each of these MPA types is examined according to the policies, legislation, and management systems they entail as well as the economic and community situation they operate within. The paper also provides a review of some eastern African MPAs in terms of their size and location, the type of MPA, zonation schemes, and financial status. The successes of the different types of MPAs are discussed based on specific indicators, such as changes in biodiversity, infrastructure, compliance to regulations and the level of involvement of primary stakeholders in the management. From the review it is clear that a fourth generation of MPAs may be forthcoming; community-based MPAs. Although lack of data makes it difficult to assess the effectiveness of these different categories of MPAs, it is clear that no MPA can succeed without support of the local communities. Generally, the results of the analysis are promising for MPAs, however a lack of data is hampering a deeper analysis. The major issues facing MPAs in the region are highlighted, as well as some regional initiatives striving to address these issues. A number of recommendations are made, aiming to strengthen the establishment and management of MPAs in the eastern African region.",2002,,AMBIO,31,8-Jul,503-511,WOS:000180156800003,10.1639/0044-7447(2002)031[0503:MPAITE]2.0.CO;2,,#19381,Francis 2002,,
Examining the seascape of compliance in US Pacific island fisheries,"Ayers, AL; Leong, K","Noncompliance is a major threat to marine social-ecological systems. Recent noncompliance research has focused on illegal, unreported, and unregulated (IUU) fisheries and capacity shortfalls in marine protected areas (MPAs), but less work has assessed other aspects of noncompliance. Although there is wide recognition of the role of noncompliance in governance failures, the academic literature on compliance rarely acknowledges the connections between governance processes, compliance activities, and management outcomes. Likewise, scholars often highlight instrumental approaches that include law enforcement tools, instead of a diverse suite of non-instrumental interventions that encourage voluntary compliance through education, outreach, and targeted behavior change. We sought to understand the seascape of compliance across the United States Pacific islands region, an area of 5.83 million km(2) that includes Hawai'i, American Samoa, Guam, the Northern Mariana Islands, and one of the world's largest MPAs. The region includes commercial, subsistence, and non-commercial fisheries, and a diversity of cultures that rely on them. To examine compliance, we employed a qualitative approach, including an extensive review of historical and archival data sources, an analysis of the fisheries management literature in the region, and 29 expert interviews. While the literature highlighted the importance of enforcement, experts called attention to multiple factors that affected compliance, such as capacity, governance processes, and a lack of data. Although several fisheries may benefit from an increased enforcement presence, we argue that non-instrumental and governance approaches can complement enforcement and should be part of an integrated compliance approach both in the region and worldwide.",2020,,MARINE POLICY,115,,,WOS:000528256400028,10.1016/j.marpol.2020.103820,,#19382,Ayers 2020,,
How far have we come? A review of MPA network performance indicators in reaching qualitative elements of Aichi Target 11,"Meehan, MC; Ban, NC; Devillers, R; Singh, GG; Claudet, J","Effective networks of marine protected areas (MPAs) are explicitly recognized and called for in international biodiversity conservation strategies such as the Aichi Targets. While various indicators have been proposed to assess effectiveness of individual MPAs, no comprehensive set of indicators exists for MPA networks, particularly for Aichi Target 11. The qualitative elements of this target recognize the value of social, economic, governance, and ecological factors in achieving effective biodiversity conservation. Here, we used a systematic literature review to identify indicators of MPA network effectiveness. We reviewed 64 publications, identifying 48 indicators that could be aligned with the qualitative elements. Results showed that assessments of MPA network effectiveness predominantly focused on effective management while neglecting equitable management and integration into the wider land and seascape. Indicators tended to focus on ecological characteristics, overlooking social, economic, and governance dimensions. Key challenges in addressing these gaps include identifying conflicting priorities and objectives in adjacent marine and land areas that interfere with cooperation and knowledge sharing, and ensuring diverse areas with distinct social and ecological contexts are considered. This study provides the first review of indicators for assessing MPA networks and adds to the literature assessing whether current and future targets can be met.",2020,,CONSERVATION LETTERS,13,6,,WOS:000566361900001,10.1111/conl.12746,,#19383,Meehan 2020,,
Measuring what matters - Identifying indicators of success for Brazilian marine protected areas,"Oliveira, JGC; Ladle, RJ; Correia, R; Batista, VS","The large increase in number and extent of Marine Protected Areas (MPAs) over the last few decades has been an important step towards the conservation of marine environments. However, it is not clear whether these important conservation tools are effectively managed, especially in the developing world where resources are limited and there are frequent conflicts with traditional resource users. An innovative approach was used to identify the most important governance, socioeconomic and biophysical variables that are associated with the management effectiveness of Brazilian MPAs. Management effectiveness data was extracted from Rapid Assessment and Prioritization of Protected Areas Management (RAPPAM), applied by World Wildlife Fund Brazil in 2005 and 2010. This comprehensive dataset was summarized in a single management effectiveness metric and related to a set of 15 explanatory variables using generalized linear models (GLMs). An innovative multi-model averaging approach was employed to identify the most important variables relating to management effectiveness. As a result, five main indicators showed high influence on management effectiveness: 1) higher levels of monitoring/research; 2) higher investment; 3) greater human resources; 4) greater social participation, and; 5) lower levels of conflicts between users and managers. managerial effectiveness of Brazilian MPAs could be significantly improved by adopting an indicator based approach to management prioritization. Specifically, MPA managers should dedicate special attention to the highlighted factors when choosing how to allocate available resources in order to boost the overall effectiveness of their protected area.",2016,,MARINE POLICY,74,,91-98,WOS:000390494100012,10.1016/j.marpol.2016.09.018,,#19384,Oliveira 2016,,
"Understanding the spatial diversity of social uses, dynamics, and conflicts in marine spatial planning","Noble, MM; Harasti, D; Pittock, J; Doran, B","Marine coastal environments are often socially complex public areas that need equitable spatial planning approaches. Understanding the extent of extractive and non-extractive uses and the social dynamics that may be driving patterns of use is essential if the spatial plan is to support the social resilience of a marine area. In this study, a combination of fuzzy-set multi-criteria GIS modelling and negative tie social network analysis were used to explore social uses and conflicts based on sketch-mapping interviews with five key stakeholder groups (ecotourism, Aboriginal Traditional Owners, commercial and recreational fishing, and water sports) within a Marine Protected Area (MPA). Most of the areas within the MPA were regularly used by the stakeholders, with non-extractive and extractive stakeholders occupying similar spatial extents, with each stakeholder group having a different pattern of use. However, stakeholder groups had different levels of perceived priority to access these areas and support of the current spatial management plan, especially within the ecotourism and Aboriginal Traditional Owner groups. The investigation of social conflicts in shaping patterns of use revealed that most stakeholder conflicts do not necessarily occur in areas of overlaps, but generally in areas of high biodiversity and easy access through marine infrastructure. Ecotourism groups had the most perceived conflicts over marine space, which shaped their use towards certain no-take zones that protected high biodiversity and would also provide protection from other conflicting stakeholder uses (e.g., boating, fishing). Overall, the method outlined in this paper presents a way for marine spatial management to consider not only the extent and diversity of social uses in a marine environment but also the spatial-social dynamics that may determine the success of the spatial plan in supporting long-term social resilience.",2019,,JOURNAL OF ENVIRONMENTAL MANAGEMENT,246,,929-940,WOS:000482246700091,10.1016/j.jenvman.2019.06.048,,#19385,Noble 2019,,
National Marine Sanctuaries live!,"Martin, MJ; Dudchik, T; Bizot, D; Hayes, D; Sakas, C; McCurdy, A","The National Oceanic and Atmospheric Administration's (NOAA) National Marine Sanctuary Program serves as the trustee for a system of fourteen marine protected areas, encompassing over 150,000 square miles of ocean and Great Lakes waters from Washington State to the Florida Keys, and from Lake Huron to the Hawaiian Islands. Since passage of the National Marine Sanctuary Act in 1972, the sanctuary program has worked cooperatively with the public and its partners to protect and manage sanctuaries and enhance public awareness, understanding and appreciation of the ocean environment. In partnership with the JASON Foundation for Education and Institute for Exploration, we have established an educational and technological framework to bring the excitement of the nation's underwater ecosystems to students by linking telepresence activities with system-wide oceanographic monitoring programs. This initiative, which will be featured on an internet-based Ocean Science Education Portal, will integrate live video camera feeds with data streams as diverse as student-collected observations, satellite records, and measurements collected by monitoring stations in the National Marine Sanctuaries.",2005,,"OCEANS 2005, VOLS 1-3",,,98-100,WOS:000238978700019,,,#19386,Martin 2005,,
Historic marine invertebrate species inventory: case study of a science baseline towards establishing a marine conservation area,"Sloan, NA; Bartier, PM","(1) Assessing species diversity is a basic requirement for conservation, and protecting biodiversity is a major goal or marine area conservation.(2) A case study is presented on the development of a literature-based (1870s to 2000), Museum collection-based, georeferenced inventory of marine invertebrate species of the Haida Gwaii (Queen Charlotte Islands) region, Canada.(3) Database structure and quality assurance are described, along with including indigenous people's words for species towards using traditional knowledge within cooperative marine conservation area management.(4) The utility of this type of inventory is proposed as a starting point for gathering regional biodiversity knowledge, and facilitating addition of other knowledge types, towards marine area conservation. Copyright (C) 2009 John Wiley & Sons, Ltd.",2009,,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,19,7,827-837,WOS:000271778200011,10.1002/aqc.1019,,#19387,Sloan 2009,,
