Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Suggestions for fixing top-down coastal fisheries management through participatory approaches,"Lopes, PFM; Rosa, EM; Salyvonchyk, S; Nora, V; Begossi, A","Marine protected areas created in a top-down way can be costly and ineffective due to low compliance of resource users. Conversely, employing users' local knowledge and involving them in decision-making processes could decrease costs and conflicts, in addition to increasing the chances of management success. Here the potential to change conflicting MPAs into conservation areas that take into account fishers' use and knowledge is assessed based on a case study on the Brazilian coast (Paraty town). Fishers (n=206) from 11 villages were interviewed regarding their main fishing targets and gear, and then only the experienced ones (n=41) were interviewed from three main fishing villages about the most important commercial species. Fish landings were sampled for one year in these three villages (n=823), where participatory mapping and group interviews with fishers were also conducted to determine their opinions regarding management and how they thought it should be undertaken. Management measures should not be equivalent across the whole region, as there were clear differences in the target species and gear used. Fishers identified 55 important fishing spots, eight of which were important for more than five villages, while the experts identified 10 important fishing areas for the target species, which was supported by the sampling of fish landings. The fishers were not opposed to management and no-take reserves but would make some changes in the current design of these measures if it were up to them. Based on these data, a few changes were indicated in the design of these areas that would likely reduce the conflict between fishers and enforcement agencies. This kind of approach could be used as a framework for adapting conflictive MPAs or to support the establishment of new ones where fisheries are relevant. (C) 2013 Elsevier Ltd. All rights reserved.",2013,,MARINE POLICY,40,,100-110,WOS:000317539200012,10.1016/j.marpol.2012.12.033,,#19308,Lopes 2013,,
Assessing National Biodiversity Trends for Rocky and Coral Reefs through the Integration of Citizen Science and Scientific Monitoring Programs,"Stuart-Smith, RD; Edgar, GJ; Barrett, NS; Bates, AE; Baker, SC; Bax, NJ; Becerro, MA; Berkhout, J; Blanchard, JL; Brock, DJ; Clark, GF; Cooper, AT; Davis, TR; Day, PB; Duffy, E; Holmes, TH; Howe, SA; Jordan, A; Kininmonth, S; Knott, NA; Lefcheck, JS; Ling, SD; Parr, A; Strain, E; Sweatman, H; Thomson, R","Reporting progress against targets for international biodiversity agreements is hindered by a shortage of suitable biodiversity data. We describe a cost-effective system involving Reef Life Survey citizen scientists in the systematic collection of quantitative data covering multiple phyla that can underpin numerous marine biodiversity indicators at high spatial and temporal resolution. We then summarize the findings of a continentaland decadal-scale State of the Environment assessment for rocky and coral reefs based on indicators of ecosystem state relating to fishing, ocean warming, and invasive species and describing the distribution of threatened species. Fishing impacts are widespread, whereas substantial warming-related change affected some regions between 2005 and 2015. Invasive species are concentrated near harbors in southeastern Australia, and the threatened-species index is highest for the Great Australian Bight and Tasman Sea. Our approach can be applied globally to improve reporting against biodiversity targets and enhance public and policymakers' understanding of marine biodiversity trends.",2017,,BIOSCIENCE,67,2,134-146,WOS:000396895800007,10.1093/biosci/biw180,,#19311,Stuart-Smith 2017,,
Tracing Coral Reefs: A Citizen Science Approach in Mapping Coral Reefs to Enhance Marine Park Management Strategies,"Lau, CM; Kee-Alfian, AA; Affendi, YA; Hyde, J; Chelliah, A; Leong, YS; Low, YL; Yusop, PAM; Leong, VT; Halimi, AM; Shahir, YM; Ramdhan, RM; Lim, AG; Zainal, NI","Effective marine park management and protection of coral reefs can only happen if managers have adequate knowledge of reef health and area. However, obtaining such information is labor intensive and difficult with limited funding and time. Reef Check Malaysia was engaged by Department of Marine Parks Malaysia to map the coral reefs surrounding Tioman Island Marine Park and document health status and site specific threats. To achieve this, we utilized the Reef Check survey method, a simple, rapid and holistic standardized reef monitoring protocol based on scientific principles. This method is suitable where funds and time are limited. A total of 95 sites surrounding Tioman Island were surveyed with the assistance of certified Reef Check EcoDiver volunteers and representatives from local stakeholders. This citizen science approach proved successful and generated a baseline map revealing a difference in the health of coral reefs between the west and east sides of Tioman Island, where the West had <25% live coral cover as compared to >50% on the East. Combined with data on indicator fish and invertebrates, as well as human and natural impacts, the results suggest that Tioman Island should be separated into three distinctive conservation priority zones to enhance management strategies of this marine park. This is an example of an innovative way to engage and involve local stakeholders in planning conservation and management strategies.",2019,,FRONTIERS IN MARINE SCIENCE,6,,,WOS:000483600900002,10.3389/fmars.2019.00539,,#19319,Lau 2019,,
From fish to ecosystems: The perceptions of fishermen neighboring a southern Brazilian marine protected area,"Martins, IM; Medeiros, RP; Hanazaki, N","Marine protected areas (MPAs) are being created worldwide and are important tools for conservation and fisheries management. However, the impact of MPAs on artisanal fishing communities is still poorly understood. In this research, we sought to understand the perceptions of artisanal fishers living around the Arvoredo Biological Reserve, a no-take MPA located in southern Brazil, and their relationship with the MPA. The fishing communities in this study are located in Tijucas Bay, an estuary located within the buffer zone of this MPA but outside its boundaries. Data collection was conducted using interviews and participatory mapping with artisanal fishers. The results show that fishers have detailed knowledge about different species, the bay, and the connections between the bay and the MPA. The fishers noted that the proper functioning of the MPA relies on avoiding industrial fishing in its borders and to limit trawling within the bay. Such measures are already in the MPA management plan, but lack of compliance is a perceived constraint. Data also show that local ecological knowledge is important to support the monitoring and evaluation of MPAs. (C) 2014 Elsevier Ltd. All rights reserved.",2014,,OCEAN & COASTAL MANAGEMENT,91,,50-57,WOS:000334087300007,10.1016/j.ocecoaman.2014.01.015,,#19320,Martins 2014,,
Experiences With Governance in Three Marine Conservation Zoning Initiatives: Parameters for Assessment and Pathways Forward,"Muhl, EK; Dias, ACE; Armitage, D","In this perspective paper, we examine the challenges of governance in three marine conservation settings where rights, access to resources and zoning intersect with changing social and ecological conditions: (1) Tsitsikamma Marine Protected Area in South Africa; (2) Marine Protected Area of the Northern Coast of SAo Paulo (APAMLN) in Brazil; and (3) Gwaii Haanas National Marine Conservation Area Reserve in Canada. Many MPAs and related zoning initiatives are located adjacent to coastal communities that rely on marine and coastal resources for their livelihoods. Thus, processes of zoning must often address local use of natural resources which can be perceived by decision -makers and regulators as problematic. Our analysis highlights how conservation zoning intersects with the perception of diverse stakeholders regarding a range of governance dimensions, including: (1) levels of participation and compliance; (2) the clarity of zoning and conservation objectives; (3) livelihood impacts and benefits; (4) evidence of ecological and conservation benefits; and (5) the influence on sense of place. Pathways forward to address the challenges of governance associated with zoning include the importance of co-producing knowledge for more robust zoning outcomes, and situating zoning processes in a co-management context in which power and authority are more evenly distributed.",2020,,FRONTIERS IN MARINE SCIENCE,7,,,WOS:000556183300001,10.3389/fmars.2020.00629,,#19323,Muhl 2020,"Ryan OConnor (2022-08-11 07:05:02)(Select): ""In contrast, the process in Gwaii Haanas management has been more proactive in articulating the conservation and ecological benefits of zoning. Specifically, the zoning process has deliberately integrated conventional scientific understanding of ecological values with insights and local knowledge from the Haida people""; Kimberly Cheung (2022-07-27 04:52:36)(Select): Interesting definitions of “engagement” and “collaboration”; ",
Regular monitoring and targeted removals can control lionfish in Mediterranean Marine Protected Areas,"Kleitou, P; Rees, S; Cecconi, F; Kletou, D; Savva, I; Cai, LL; Hall-Spencer, JM","1. A lack of biosecurity in the Suez Canal has combined with global warming and other human pressures to cause abrupt changes in the Mediterranean Sea. Throughout this region an influx of species is influencing the outcome of efforts to protect and restore nature.2. Despite calls for targeted removals of invasive species from protected areas, there is limited information about the effectiveness of this course of action from both an ecological and a socio-economic perspective. In this study, coordinated removals of lionfish (Pterois miles) by volunteers/scuba divers at three marine protected sites in Cyprus were conducted.3. The removal efficiency was monitored using visual-census surveys and citizen science data. Removals significantly decreased lionfish numbers but long-term suppression of lionfish would require monitoring and repetition of removals when necessary, since population recovery was sometimes rapid.4. Citizen science yielded the data needed to understand lionfish population changes and guide the timing of removal events, but was characterized by large variation and potential outliers, highlighting the need for large sample sizes.5. Questionnaire surveys were used to assess the social impact of participation in lionfish removals; these showed that involvement had a strong positive impact on knowledge about lionfish and motivation to support marine conservation activities - the divers were even willing to pay extra to remove lionfish.6. Management reforms would be needed to capitalize on this societal motivation, and enable effective lionfish removals by scuba divers, coordinated by competent authorities. The EU aims to protect at least 30% of the marine waters by 2030. Removal events could help shield selected conservation sites from the adverse effects of lionfish and at the same time help establish links with local communities, strengthening the sustainable use of marine systems both at corporate and at societal levels.",2021,,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,31,10,2870-2882,WOS:000675256100001,10.1002/aqc.3669,,#19325,Kleitou 2021,,
"Age and growth of the Critically Endangered flapper skate, Dipturus intermedius","Regnier, T; Dodd, J; Benjamins, S; Gibb, FM; Wright, PJ","Knowledge of vital data such as growth and age at maturity is necessary to develop effective management strategies for endangered species. The Critically Endangered flapper skate (Dipturus intermedius) is the largest skate in the North Atlantic and growth information, necessary to assess key life-history traits, populations' growth rates and anticipate their response to management measures, is still lacking. While classical age estimation methods used in fish generally require the analysis of calcified structures, destructive methods are incompatible with conservation objectives for this species. Taking advantage of the high recreational value of the flapper skate, this study uses citizen-science data originating from photo-identification of trophy pictures and tag-recapture data supported by anglers to estimate growth in this Critically Endangered species. Using the growth increments measured between recapture events, an individual-based Von Bertalanffy growth model was fitted to the data using Bayesian inference. The results confirm that the flapper skate is a long-lived species with ages estimated as >40 years for the largest individuals captured. Despite this longevity, the model reveals a relatively fast initial growth but relatively late ages at maturity and significant sex-related differences in both growth rate and maximum size. These results suggest that population growth rate, and therefore recovery, might be much slower than previously reported. By using citizen science this study provides the necessary information to begin understanding population dynamics and monitor the recovery of an iconic Critically Endangered species.",2021,,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,31,9,2381-2388,WOS:000667841100001,10.1002/aqc.3654,,#19326,Regnier 2021,,
Improving marine protected area governance through collaboration and co-production,"Di Franco, A; Hogg, KE; Calo, A; Bennett, NJ; Sevin-Allouet, MA; Alaminos, OE; Lang, M; Koutsoubas, D; Prvan, M; Santarossa, L; Niccolini, F; Milazzo, M; Guidetti, P","Marine protected areas (MPAs) socio-ecological effectiveness depends on a number of management and governance elements, among which stakeholder engagement and community support play key roles. Collaborative conservation initiatives that engage stakeholders in action research and knowledge co-production processes can enhance management and governance of MPAs. To design effective strategies aimed at reconciling biodiversity conservation and management of sustainable human uses, it is key to assess how local communities respond to such initiatives and identify the set of contextual factors, institutional, local and individual, potentially affecting these responses. This paper presents the approach and results of one such initiative, spanning 6 EU countries and 11 MPAs in the Mediterranean Sea, focusing on small-scale fishers as key MPA users. Through a collaborative project, managers and fishers agreed upon specific governance interventions (e.g. increasing stakeholder engagement, engaging fishers in monitoring activities, reducing fishing efforts) to be implemented in each MPA for one year. Structured surveys queried: MPA managers on the MPA context, governance structure, feasibility and effectiveness of the tested interventions; and small-scale fishers on their perceptions of the impact of the tested interventions on a set of 9 socio-ecological variables (e.g. amount of fish caught, level of participation in decision-making, support for the MPA). Results revealed that the interventions tested were relatively feasible, effective and cost-effective. Fishers reported positive perceptions of the interventions for the 9 variables considered, especially for level of support for the MPA and for those associated with aspects of governance. Proportional odds models highlighted perceived effects are maximized under certain institutional, local and individual circumstances (e.g. old MPAs, small fisher communities, and fishers with a high proportion of income from fisheries). Findings highlight that employing good governance processes involving stakeholders may rapidly generate improved local support for conservation and provide insights for potential leverage points upon which to act to maximize perceived effectiveness and enhance support toward MPAs.",2020,,JOURNAL OF ENVIRONMENTAL MANAGEMENT,269,,,WOS:000541757200035,10.1016/j.jenvman.2020.110757,,#19328,DiFranco 2020,,
Underwater photo contests to complement coastal fish inventories: results from two Marine Protected Areas in the Mediterranean,"Tiralongo, F; La Mesa, G; De Mendoza, FP; Massari, F; Azzurro, E","Marine Protected Areas (MPAs) are particularly useful to assess fish assemblages and to obtain reliable fish inventories. In this study we demonstrate the value of underwater photo contests as complementary tools to achieve these goals. We examined 3513 underwater pictures taken by free divers and scuba divers participating in two photo contests organized by the Italian Federation of Sport Fishing and Underwater Activities (FIPSAS). The competitions were held in the Italian MPAs of Punta Campanella (Tyrrhenian Sea; 2017) and Capo Rizzuto (Ionian Sea; 2018). Altogether, 97 fish species, 89 at Punta Campanella and 75 at Capo Rizzuto, were identified in different coastal habitats (depth range, 0-19 m). Their number was considerably higher than the one obtained with other census techniques and was close to the maximum number of species described at the two locations, as shown by accumulation curves. Significant differences in species richness were demonstrated at the level of both location and habitat type. The reasons for such differences are discussed along with the advantages and limitations of underwater photo contests as a participatory tool to obtain regular updates on coastal fish inventories in MPAs and in wider areas.",2021,,MEDITERRANEAN MARINE SCIENCE,22,2,436-445,WOS:000683111100018,10.12681/mms.26176,,#19330,Tiralongo 2021,,
Utilizing Fishermen Knowledge and Expertise: Keys to Success for Collaborative Fisheries Research,"Yochum, N; Starr, RM; Wendt, DE","Collaborative fisheries research provides a mechanism for integrating the unique knowledge, experience, and skills of fishermen and scientists. It is a joint intellectual endeavor that begins with the inception of a project and continues until its final stages, with each group having mutual investment in-and ownership of-the project. Collaborative fisheries research promotes communication and trust among fishermen, scientists, and managers and can provide much-needed scientifically valid data for fisheries management. It can enhance federal and state management data collection programs, which span broad sections of coastline, by increasing the ability to detect changes in local metapopulations that may be over-fished or underutilized. We describe a methodology for conducting collaborative fisheries surveys and apply it to marine protected areas along the central California coast. During a series of workshops in 2006, attended by members of the fishing, academic, environmental, and management communities, protocols were established for conducting hook-and-line surveys collaboratively with commercial passenger fishing vessel captains and volunteer recreational anglers. The protocols have been implemented annually since 2007. This case study highlights the effectiveness of-and the essential steps in-developing our collaborative fisheries research and monitoring projects.",2011,,FISHERIES,36,12,593-605,WOS:000299507000003,10.1080/03632415.2011.633467,,#19332,Yochum 2011,,
Cetacean Research and Citizen Science in Kenya,"Mwango'mbe, MG; Spilsbury, J; Trott, S; Nyunja, J; Wambiji, N; Collins, T; Gomes, I; Perez-Jorge, S","In 2011, several non-governmental and government agencies established the Kenya Marine Mammal Network (KMMN) to provide a platform for the consistent collection of data on marine mammals along the Kenyan coast, identify areas of importance and engage marine users and the general public in marine mammal conservation. Prior to the KMMN, relatively little was known about marine mammals in Kenya, limiting conservation strategies. The KMMN collects data nationwide through dedicated surveys, opportunistic sightings and participative citizen science, currently involving more than 100 contributors. This paper reviews data on sightings and strandings for small cetaceans in Kenya collated by the KMMN. From 2011 to 2019, 792 records of 11 species of small cetaceans were documented. The most frequently reported inshore species were the Indo-Pacific bottlenose dolphin and Indian Ocean humpback dolphin. Offshore species, included killer whales, short-finned pilot whale and long-snouted spinner dolphin. Indo-Pacific bottlenose dolphins, long-snouted spinner dolphins, striped dolphins and Risso's dolphins were recorded through stranding reports. The efforts of the KMMN were disseminated through international meetings (International Whaling Commission, World Marine Mammal Conference), national status reports, outreach and social media. Data has also supported the identification of three IUCN Important Marine Mammal Areas and one Area of Interest in Kenya. Further research is needed to improve estimates of cetacean abundance and distribution, particularly in unstudied coastal areas, and to assess the extent of anthropogenic threats associated with fisheries, coastal and port development, seismic exercises and unregulated tourism. The expansion of the network should benefit from the participation of remote coastal fishing communities, government research agencies, tourism and seismic operations, among others. The KMMN demonstrated the value of dedicated and citizen science data to enhance marine mammal conservation strategies to boost awareness and eco-tourism and to bring the public and science closer together, promoting research and effective conservation efforts.",2021,,FRONTIERS IN MARINE SCIENCE,8,,,WOS:000664161100001,10.3389/fmars.2021.642399,,#19337,Mwango'mbe 2021,,
Identifying spatial conservation priorities using Traditional and Local Ecological Knowledge of iconic marine species and ecosystem threats,"Noble, MM; Harasti, D; Fulton, CJ; Doran, B","Marine Protected Areas (MPAs) can be an effective spatial approach to conservation, especially when they involve genuine consultation that considers the diversity of stakeholders. Participatory mapping and semi structured interviews were conducted with 52 stakeholders and 22 managers and scientists to identify ecological priorities and concerns across a large temperate MPA in Port Stephens-Great Lakes Marine Park, Australia. There were 19 iconic species of fish, dolphins, whales, and sea turtles that were the focus of ecological priorities and stakeholder interactions with the marine environment. Effectiveness of the current MPA management plan for addressing stakeholder priority and concerns, was assessed using GIS spatial modelling that created fuzzy-set species distribution models (SDMs) based on Traditional and Local Ecological Knowledge as well as scientific and citizen-science survey data. These spatial models for the iconic species across the MPA were then overlaid with ecological concerns of the stakeholders to create a spatial understanding of local threats, and priority areas for targeted management. Poor water quality from terrestrial primary sources was the main concern of stakeholders, more so than in-water threats such as poor fishing practices or impacts to iconic species. While local managers and scientists were relatively reluctant to answer interview questions, there was a general misalignment in approaches to iconic species management, especially for mobile and migratory species, and misunderstanding of stakeholder perceptions of threats. Participatory mapping of social-ecological values provides a method for stakeholders and decision-makers to better understand, discuss, and adapt marine spatial management approaches that support a diversity of conservation and management priorities.",2020,,BIOLOGICAL CONSERVATION,249,,,WOS:000567872700004,10.1016/j.biocon.2020.108709,,#19340,Noble 2020,,
"Regional Assessment of the Conservation Status of Snubfin Dolphins (Orcaella heinsohni) in the Kimberley Region, Western Australia","Bouchet, PJ; Thiele, D; Marley, SA; Waples, K; Weisenberger, F; Rangers, B; Rangers, BJ; Rangers, D; Rangers, NBY; Rangers, NN; Rangers, U; Raudino, H","Implementing conservation measures for data-limited species is a fundamental challenge for wildlife managers and policy-makers, and proves difficult for cryptic marine animals occurring in naturally low numbers across remote seascapes. There is currently scant information on the abundance and habitat preferences of Australian snubfin dolphins (Orcaella heinsohni) throughout much of their geographical range, and especially within the Kimberley region of northern Western Australia. Such knowledge gaps curtail rigorous threat assessments on both local and regional scales. To address this and assist future conservation listings, we built the first comprehensive catalog of snubfin dolphin sightings for the Kimberley. We used these data to estimate the species' extent of occurrence (EOO) and area of occupancy (AOO) along the region's 7,000 km coastline, following a simple Bootstrap bivariate kernel approach to combine datasets of varying quality and quantify uncertainty. Our catalog consists of 1,597 visual detections of snubfin dolphins made over a period of 17 years (2004-2020) and collated from multiple sources, including online biodiversity repositories, peer-reviewed scientific articles, citizen science programs, as well as dedicated marine wildlife surveys with local Indigenous communities and Ranger groups. Snubfin dolphins were consistently encountered in shallow waters (<21 m depth) close to (<15 km) freshwater inputs, with high detection rates in known hotspots (e.g., Roebuck Bay, Cygnet Bay) as well as in coastal habitats suspected to be suitable (e.g., Prince Regent River and surrounds, King Sound, Doubtful Bay, Napier Broome Bay and the upper Cambridge Gulf). Bootstrap estimates of EOO and AOO were 38,300 (95% CI: 25,451-42,437) km(2) and 700 (656-736) km(2) respectively, suggesting that snubfin dolphins in the Kimberley are likely Vulnerable under IUCN criteria B2 at a regional scale, in keeping with their global classification. Our study offers insights into the distribution of a vulnerable coastal cetacean species and demonstrates the value of integrating multiple data sources for informing conservation assessments in the face of uncertainty.",2021,,FRONTIERS IN MARINE SCIENCE,7,,,WOS:000613340900001,10.3389/fmars.2020.614852,,#19344,Bouchet 2021,,
SeaCleaner: Focusing Citizen Science and Environment Education on Unraveling the Marine Litter Problem,"Merlin, S; Locritani, M; Stroobant, M; Mioni, E; Tosi, D","The Pilot Project SeaCleaner is a citizen science and educational project, developed by the Institute of Marine Sciences of the Italian Research Council (CNR-ISMAR). Since 2013, it has involved environmental nongovernmental organizations (NGOs), volunteers, five Italian Marine Protected Areas surrounding the Pelagos Sanctuary, and so far more than 50 high school students within the Italian program for work-related learning internships. The project aims to overcome the lack of current data on marine littera gap of knowledge that cannot be ignored any longer, according to the last European Union's ambitious Marine Strategy Framework Directive (MSFD)by building an app for Android devices, which is easy to use and, at the same time, methodologically sound and comprehensive. This should enable a continuous census (in time and space) for supporting the proper management and removal of solid waste (through scheduled campaigns, etc.). The project has multiple effects: (1) to prompt students to broaden their scientific knowledge on topics not strictly related to scholastic curricula, making them aware of current environmental problems and teaching them how to solve them; (2) to engage an increasing number of volunteers in marine litter monitoring activities; and (3) to contribute to a common protocol for data acquisition, useful for both environmental and scientific purposes, helping scientists to overcome the lack of current data on marine litter.",2015,,MARINE TECHNOLOGY SOCIETY JOURNAL,49,4,99-118,WOS:000361344000014,10.4031/MTSJ.49.4.3,,#19351,Merlin 2015,,
The effects of stakeholder education and capacity building in marine protected areas: A case study from southern Mozambique,"Lucrezi, S; Esfehani, MH; Ferretti, E; Cerrano, C","Stakeholder engagement is a critical component of marine protected area (MPA) management. Education and capacity-building initiatives, in particular, have the potential to empower stakeholders, promote collaboration, create a culture of marine stewardship and encourage alternative and sustainable livelihoods. Empirical evidence on the impacts of these initiatives on stakeholders and MPAs is however still lacking. This study tested the impact of an ocean literacy, marine education and environmental monitoring initiative on stakeholders' views of conservation, community and livelihood in the Ponta do Ouro Partial Marine Reserve (PPMR) in southern Mozambique. Data were collected via two focus groups, one before and one after participation in the initiative. Stakeholders who participated in this research included representatives from governance, tourism and education sectors in the PPMR. Participation in the initiative had a positive effect on stakeholders' views of conservation, community and livelihood. Following the initiative, some of these views became more aligned with the goals of the PPMR, while others highlighted important issues to be addressed by management. This study demonstrates the bilateral nature of stakeholder engagement in MPAs, including stakeholder empowerment and steering management strategies.",2019,,MARINE POLICY,108,,,WOS:000495518700018,10.1016/j.marpol.2019.103645,,#19352,Lucrezi 2019,,
"Community-based management fails to halt declines of bumphead parrotfish and humphead wrasse in Roviana Lagoon, Solomon Islands","Hamilton, RJ; Hughes, A; Brown, CJ; Leve, T; Kama, W","Community-based fisheries management that integrates local knowledge and existing user rights is often seen as a solution to the failures of top-down fisheries management in the Pacific. In Roviana Lagoon, Western Solomon Islands, a network of community-based marine protected areas (MPAs) was established in the early 2000s to conserve declining populations of bumphead parrotfish (Bolbometopon muricatum) and other locally valuable fish species such as humphead wrasse (Cheilinus undulatus). We aimed to evaluate the success of these protected areas at preventing declines of B. muricatum and C. undulatus. We conducted 27 underwater visual census (UVC) surveys at permanent passage and outer reef monitoring sites in Roviana Lagoon in 2018 and compared our findings with results from 72 UVC surveys that we had conducted at the same sites 18yrs earlier. We also interviewed Roviana spearfishers about their maximum nightly B. muricatum catches from 2018, the early 2000s and the 1980s. Abundances of all B. muricatum and C. undulatus sighted on UVC surveys declined by 62% and 57%, respectively, between 2000 and 2018, and abundances of adult B. muricatum and C. undulatus declined by 78% and 72%, respectively, over the same period. Using a joint model of B. muricatum abundance and its reported maximum catch, we estimated that in 2018 the population of B. muricatum was 8% of its 1980's abundance. By modelling projected rates of decline over three generations, we show that populations of B. muricatum and C. undulatus in Roviana Lagoon meet the IUCN Red List thresholds for Critically Endangered (CR). The probable causes of these declines are sustained fishing pressure, poor enforcement of community-based management measures and loss of fish nursery habitats due to logging. Our findings suggest urgent co-management of the ridge-to-reef system is needed to prevent further fish population declines in Roviana Lagoon.",2019,,CORAL REEFS,38,3,455-465,WOS:000469356900007,10.1007/s00338-019-01801-z,,#19364,Hamilton 2019,,
"Fishing in the dark-local knowledge, night spearfishing and spawning aggregations in the Western Solomon Islands","Hamilton, RJ; Giningele, M; Aswani, S; Ecochard, JL","Within the marine conservation community there is considerable interest in combining local knowledge and science to achieve management objectives. Yet there remain few studies which have examined the merits and caveats of local knowledge, or shown how combining both knowledge systems has resulted in better management outcomes. This study outlines collaborative efforts to conserve fish spawning aggregations (FSAs) in Roviana Lagoon, Western Solomon Islands. Baseline information on FSAs was obtained through local knowledge and spearfishing creel surveys. This information provided the starting point for establishing a 2-year community-based underwater monitoring program at the largest known FSA in Roviana Lagoon, where the brown-marbled grouper (Epinephelus fuscoguttatus), camouflage grouper (Epinephelus polyphekadion) and squaretail coralgrouper (Plectropomus areolatus) co-aggregate. This participatory research shows that local knowledge on FSAs is utilised to maximise returns from fishing, with spearfishermen targeting aggregations at night during the lunar periods when abundances peak. Because of its shallow distribution P. areolatus is the most vulnerable of the three groupers to nighttime spearfishing, with two fishermen capable of removing 15-30% of the total spawning biomass in two nights. Underwater monitoring demonstrates that while fishermen provided accurate information on many aspects of FSAs, their knowledge on spawning seasons was inaccurate for the FSA reported on here. Peak aggregations occurred from December to April each year, which differs from the traditionally recognised grouper season of October to January. A combination of local knowledge and science was used to develop appropriate management measures for this FSA, with the aggregation declared a community-based marine protected area (MPA) in 2006. (C) 2011 Elsevier Ltd. All rights reserved.",2012,,BIOLOGICAL CONSERVATION,145,1,246-257,WOS:000301092400032,10.1016/j.biocon.2011.11.020,,#19368,Hamilton 2012,,
Local ecological knowledge and the management of marine protected areas in Brazil,"Gerhardinger, LC; Godoy, EAS; Jones, PJS","This manuscript discusses the role of fishers' Local Ecological Knowledge (LEK) in the management of Marine Protected Areas (MPAs) in Brazil. Semi-structured interviews were undertaken at nine MPAs to investigate MPA managers' (n=9) and higher governmental level authorities' (n=5) perceptions on these. Varying levels of MPA governance approaches were assessed, from government-led centralized top-down (e.g. marine biological reserves) to community-based bottom-up MPA categories (e.g. marine extractive reserves). The use of fishers' LEK was found to be an essential means of achieving a broader and more diverse knowledge basis for MPA management, though most of the management current in place is still science-driven in Brazil. The full engagement of local knowledge can also be regarded as a means of empowering local communities and promoting responsibility, but only if a more inclusive praxis of participation is put to work. Different meanings for 'Local Knowledge Use' in MPA management were outlined and described for different management approaches (top-down vs. bottom-up). It was noted that each of these meanings brings different outcomes in terms of stakeholder participation and empowerment. It is also suggested that MPA co-management schemes might benefit from the adoption of a 'knowledge-building' instead of 'knowledge-using' approach during a 'problem-solving' instead of 'decision-making' management process. Finally, it is concluded that it will be an enormous challenge to put LEK to work in the benefit of MPAs in the country amidst so many priority actions brought by the problems affecting the Brazilian National System of MPAs. Government must open up the agenda to deliberatively discuss the roles of local knowledge in MPA management, whilst local communities organise themselves and increase the demand for participation with responsibility. (C) 2008 Elsevier Ltd. All rights reserved.",2009,,OCEAN & COASTAL MANAGEMENT,52,4-Mar,154-165,WOS:000264533600002,10.1016/j.ocecoaman.2008.12.007,,#19370,Gerhardinger 2009,,
"Spatiotemporal Trends Observed in 20 Years of Posidonia oceanica Monitoring along the Alicante Coast, Spain","Blanco-Murillo, F; Jimenez-Gutierrez, S; Martinez-Vidal, J; Guillen, JE; Sanchez-Lizaso, JL","Posidonia oceanica meadows, known to be valuable marine ecosystems, have been reported to be in decline as a result of human activities in recent decades. However, it is still controversial if this decline is a global phenomenon or it is caused by specific disturbances related to human development at a local scale. In order to evaluate changes in P. oceanica meadows, in this study, monitoring data obtained at 14 stations along the Mediterranean coast near Alicante, Spain, over a 20-year period were analyzed. Field data were obtained through the citizen science project POSIMED, which had the aim of carrying out annual monitoring of both shallow and deep P. oceanica meadows along the coast near Alicante and determining whether their ecological status was changing over time. The percentage cover of living P. oceanica and dead matte and shoot density data were used to assess the ecosystem status and to determine whether there had been an overall regional decline in seagrass over the 20-year period. Both cover and density data showed a significant positive trend at most locations. However, the amount of dead matte was noted to slightly increase with time while six shallow and one deep station showed a negative P. oceanica cover trend, indicating that in certain locations meadow regression might be taking place. Shoot density decreased with depth and increased with the amount of rock cover; its correlation with the dead matte percentage was unclear, which probably means that a range of different factors can result in the presence of dead plants. These results support the idea that local disturbances are the cause of seagrass decline in the Mediterranean, thus demonstrating the need for management plans that focus on local stressors of P. oceanica meadows at specific locations. Long-term, large-scale monitoring allows the ecosystem status in the western Mediterranean to be assessed; however, local disturbances can also affect specific locations.",2022,,WATER,14,3,,WOS:000754630700001,10.3390/w14030274,,#19373,Blanco-Murillo 2022,,
